sujeto	ciudad	año	PIBI	nute	ciunu	tiempo
1	Amazonas	2000	7284	3	1	1
1	Amazonas	2001	8074	3	1	2
1	Amazonas	2002	8215	3	1	3
1	Amazonas	2003	8532	3	1	4
1	Amazonas	2004	9552	3	1	5
1	Amazonas	2005	10316	3	1	6
1	Amazonas	2006	11220	3	1	7
1	Amazonas	2007	11909	3	1	8
1	Amazonas	2008	12858	3	1	9
1	Amazonas	2009	13974	3	1	10
1	Amazonas	2010	14418	3	1	11
2	Antioquia	2000	15104	5	2	1
2	Antioquia	2001	15980	5	2	2
2	Antioquia	2002	17081	5	2	3
2	Antioquia	2003	18465	5	2	4
2	Antioquia	2004	21211	5	2	5
2	Antioquia	2005	23032	5	2	6
2	Antioquia	2006	25202	5	2	7
2	Antioquia	2007	28125	5	2	8
2	Antioquia	2008	29956	5	2	9
2	Antioquia	2009	30976	5	2	10
2	Antioquia	2010	32371	5	2	11
3	Arauca	2000	24229	4	3	1
3	Arauca	2001	16477	4	3	2
3	Arauca	2002	25224	4	3	3
3	Arauca	2003	30136	4	3	4
3	Arauca	2004	27419	4	3	5
3	Arauca	2005	39385	4	3	6
3	Arauca	2006	43893	4	3	7
3	Arauca	2007	47344	4	3	8
3	Arauca	2008	63635	4	3	9
3	Arauca	2009	54782	4	3	10
3	Arauca	2010	56767	4	3	11
4	Atlantico	2000	12277	1	4	1
4	Atlantico	2001	12747	1	4	2
4	Atlantico	2002	13494	1	4	3
4	Atlantico	2003	14338	1	4	4
4	Atlantico	2004	15849	1	4	5
4	Atlantico	2005	17446	1	4	6
4	Atlantico	2006	19327	1	4	7
4	Atlantico	2007	22063	1	4	8
4	Atlantico	2008	23436	1	4	9
4	Atlantico	2009	24404	1	4	10
4	Atlantico	2010	24565	1	4	11
5	Bogotá	2000	23840	6	5	1
5	Bogotá	2001	25611	6	5	2
5	Bogotá	2002	27615	6	5	3
5	Bogotá	2003	29868	6	5	4
5	Bogotá	2004	32960	6	5	5
5	Bogotá	2005	35596	6	5	6
5	Bogotá	2006	39524	6	5	7
5	Bogotá	2007	43558	6	5	8
5	Bogotá	2008	46940	6	5	9
