sujeto	A?O2	NIT	cla	SUBSECTOR	Z	zm	factor	AÑO
1	2010	800003193	0	12	"4,28"	1	1	1
1	2011	800003193	0	12	"4,51"	1	2	2
1	2012	800003193	0	12	"4,69"	1	1	3
1	2013	800003193	0	12	"5,45"	1	1	4
1	2014	800003193	0	12	"4,62"	1	1	5
2	2010	800004708	1	6	"3,86"	1	2	1
2	2011	800004708	1	6	"5,29"	1	1	2
2	2012	800004708	1	6	"5,22"	1	3	3
2	2013	800004708	1	6	"5,42"	1	1	4
2	2014	800004708	1	6	"5,93"	1	1	5
3	2010	800005141	0	10	"2,65"	2	2	1
3	2011	800005141	0	10	"3,25"	1	2	2
3	2012	800005141	0	10	"3,44"	1	1	3
3	2013	800005141	0	10	"2,82"	2	1	4
3	2014	800005141	0	10	"5,65"	1	2	5
4	2010	800008661	1	3	"1,90"	2	2	1
4	2011	800008661	1	3	"0,46"	3	2	2
4	2012	800008661	1	3	"0,12"	3	2	3
4	2013	800008661	1	3	"0,15"	3	1	4
4	2014	800008661	1	3	"0,53"	3	1	5
5	2010	800010950	0	1	"0,60"	3	1	1
5	2011	800010950	0	1	"1,04"	3	1	2
5	2012	800010950	0	1	"1,18"	3	2	3
5	2013	800010950	0	1	"0,89"	3	2	4
5	2014	800010950	0	1	"1,08"	3	2	5
6	2010	800018138	1	3	"1,25"	2	2	1
6	2011	800018138	1	3	"1,16"	3	1	2
6	2012	800018138	1	3	"1,28"	2	2	3
6	2013	800018138	1	3	"1,84"	2	2	4
6	2014	800018138	1	3	"1,33"	2	2	5
7	2010	800022051	0	6	"3,29"	1	2	1
7	2011	800022051	0	6	"2,59"	2	2	2
7	2012	800022051	0	6	"2,63"	2	2	3
7	2013	800022051	0	6	"2,64"	2	3	4
7	2014	800022051	0	6	"2,33"	2	2	5
8	2010	800022398	0	2	"1,55"	2	2	1
8	2011	800022398	0	2	"1,90"	2	1	2
8	2012	800022398	0	2	"1,59"	2	1	3
8	2013	800022398	0	2	"1,70"	2	1	4
8	2014	800022398	0	2	"1,67"	2	2	5
9	2010	800023622	1	2	"2,09"	2	1	1
9	2011	800023622	1	2	"2,82"	2	1	2
9	2012	800023622	1	2	"2,70"	2	1	3
9	2013	800023622	1	2	"3,07"	1	1	4
9	2014	800023622	1	2	"3,18"	1	2	5
10	2010	800027121	1	4	"5,73"	1	2	1
10	2011	800027121	1	4	"4,34"	1	1	2
10	2012	800027121	1	4	"4,90"	1	2	3
10	2013	800027121	1	4	"5,99"	1	1	4
10	2014	800027121	1	4	"2,00"	2	3	5
11	2010	800027293	1	6	"2,49"	2	1	1
11	2011	800027293	1	6	"2,83"	2	2	2
11	2012	800027293	1	6	"3,04"	1	3	3
11	2013	800027293	1	6	"2,80"	2	2	4
11	2014	800027293	1	6	"3,02"	1	2	5
12	2010	800031674	0	1	"2,68"	2	1	1
12	2011	800031674	0	1	"2,86"	2	2	2
12	2012	800031674	0	1	"0,95"	3	2	3
12	2013	800031674	0	1	"1,05"	3	2	4
12	2014	800031674	0	1	"1,09"	3	2	5
13	2010	800032846	0	5	"2,10"	2	2	1
13	2011	800032846	0	5	"2,02"	2	1	2
13	2012	800032846	0	5	"1,94"	2	2	3
13	2013	800032846	0	5	"1,96"	2	1	4
13	2014	800032846	0	5	"2,38"	2	1	5
14	2010	800037978	0	12	"6,85"	1	1	1
14	2011	800037978	0	12	"7,29"	1	1	2
